,, Week,2026-02-23,2026-02-23,2026-02-23,2026-02-23,2026-03-02,2026-03-02,2026-03-02,2026-03-02
577,MAYAMY,SMB (AM Segment),32.0%,17,0.0%,€14.96,32.0%,22,0.0%,€20.73
578,GALUSHKA POLTAVSKA,SMB (AM Segment),32.0%,4,0.0%,€31.61,32.0%,4,0.0%,€23.96
579,OCEAN,SMB (AM Segment),32.0%,11,0.0%,€20.69,32.0%,10,0.0%,€24.60
580,BROVARNIA PYVNA LEHENDA,SMB (AM Segment),32.0%,3,0.0%,€10.30,32.0%,2,0.0%,€13.00
581,COFFEE-MLYNETS,SMB (AM Segment),32.0%,10,0.0%,€12.68,32.0%,11,0.0%,€13.38
582,MISKE KAFE KOHAI,SMB (AM Segment),32.0%,20,0.0%,€18.54,30.7%,24,0.0%,€24.98
583,BESTIA,SMB (AM Segment),32.0%,40,100.0%,€18.58,31.9%,28,100.0%,€15.68
584,GELATERIA GELIZKO,SMB (AM Segment),31.9%,11,100.0%,€13.51,31.2%,13,100.0%,€11.12
585,KLAN PYVA,SMB (AM Segment),31.9%,4,0.0%,€13.25,31.5%,5,0.0%,€15.75
586,CENTRAL BURGERS,SMB (AM Segment),31.9%,18,0.0%,€15.39,31.7%,19,0.0%,€14.49
587,"CHEBUREK XXL, SMACHNI STRAVY",SMB (AM Segment),31.9%,24,100.0%,€12.20,29.9%,21,100.0%,€15.84
588,HALYTSKYI KUKHOL,SMB (AM Segment),31.9%,54,0.0%,€11.75,31.9%,49,0.0%,€11.43
589,TRAP,SMB (AM Segment),31.9%,16,0.0%,€15.41,32.0%,12,0.0%,€18.54
590,SHAURMA227,SMB (AM Segment),31.9%,23,100.0%,€15.00,30.6%,39,100.0%,€15.73
591,BURGER K2,SMB (AM Segment),31.9%,11,100.0%,€13.60,33.0%,6,100.0%,€16.46
592,GRAND THEFT BURGER,SMB (AM Segment),31.8%,15,0.0%,€11.23,32.0%,12,0.0%,€10.74
593,MEGA SHAURMA,SMB (AM Segment),31.8%,10,80.3%,€8.09,33.0%,19,51.3%,€10.87
594,LAPSHA TA RISE,SMB (AM Segment),31.8%,4,100.0%,€11.90,31.0%,9,100.0%,€14.29
595,TSENTR SHAURMY,SMB (AM Segment),31.8%,13,100.0%,€9.67,32.7%,19,100.0%,€10.66
596,ILDEFRANS,SMB (AM Segment),31.8%,17,100.0%,€8.70,31.3%,19,100.0%,€11.66
597,DERBENT,SMB (AM Segment),31.8%,4,0.0%,€21.81,35.0%,1,0.0%,€14.60
598,FORREST MEAT CLUB,SMB (AM Segment),31.7%,14,100.0%,€20.59,30.9%,12,100.0%,€22.50
599,STREET PIZZA,Mid-market (AM Segment),31.7%,101,100.0%,€11.65,31.8%,112,100.0%,€12.92
600,HOME COFFEE,SMB (AM Segment),31.7%,24,0.0%,€14.24,28.1%,16,0.0%,€13.75
601,SECRET GARDEN CAFE,SMB (AM Segment),31.7%,4,100.0%,€25.46,34.0%,3,100.0%,€18.67
602,GAMARDZOBA SHAURMA,SMB (AM Segment),31.6%,22,0.0%,€7.08,30.7%,14,0.0%,€7.99
603,ARGENTINA GRILL,SMB (AM Segment),31.6%,17,0.0%,€23.52,29.9%,5,0.0%,€33.88
604,SHAURMA BROTHERS,SMB (AM Segment),31.6%,30,100.0%,€10.31,32.0%,28,100.0%,€9.33
605,SUSHI TO GO,SMB (AM Segment),31.6%,5,0.0%,€19.94,32.0%,3,0.0%,€10.17
606,LEGIT,SMB (AM Segment),31.6%,4,100.0%,€16.74,31.5%,6,100.0%,€9.50
607,FAYNA ASIA,SMB (AM Segment),31.6%,5,0.0%,€17.25,32.0%,4,0.0%,€21.17
608,RESTO FRIENDS,SMB (AM Segment),31.6%,8,0.0%,€20.44,31.7%,7,0.0%,€16.37
609,BESSARABKA ESPRESSO BAR,SMB (AM Segment),31.6%,6,0.0%,€9.10,32.0%,4,0.0%,€18.87
610,SUSHI NAMI,SMB (AM Segment),31.6%,11,0.0%,€15.70,32.0%,29,0.0%,€20.79
611,SHAWARMAN,SMB (AM Segment),31.6%,8,0.0%,€11.36,32.0%,12,0.0%,€12.43
612,SHAURMA N1 BY SAVASH,SMB (AM Segment),31.6%,12,0.0%,€10.23,32.0%,16,0.0%,€10.80
613,TRI PYROHI,SMB (AM Segment),31.5%,3,100.0%,€35.03,,,,
614,EXPRESS BUFFET,SMB (AM Segment),31.5%,8,100.0%,€11.17,30.0%,11,100.0%,€13.44
615,OG BURGER,SMB (AM Segment),31.5%,102,78.5%,€19.83,32.3%,99,79.5%,€20.67
616,CUKERNYA IF,SMB (AM Segment),31.5%,10,100.0%,€19.37,29.6%,9,100.0%,€19.85
617,MY FOOD,SMB (AM Segment),31.5%,2,100.0%,€19.00,32.7%,3,100.0%,€21.44
618,LUNCH & BORSCH,SMB (AM Segment),31.5%,1,100.0%,€17.74,31.5%,1,100.0%,€12.16
619,BURGER STATION,SMB (AM Segment),31.5%,1,100.0%,€19.74,34.7%,1,100.0%,€37.68
620,ELVO PIZZA PIVOMAN,SMB (AM Segment),31.5%,1,0.0%,€33.69,31.5%,1,0.0%,€18.67
621,FUD TRAK MLYNCI BURGERS,SMB (AM Segment),31.5%,1,0.0%,€12.15,35.0%,1,0.0%,€8.02
622,PIZZASUSHI GASTRO,SMB (AM Segment),31.5%,4,0.0%,€23.39,31.5%,1,0.0%,€9.85
623,WOKDAFI,SMB (AM Segment),31.5%,3,0.0%,€16.87,33.2%,2,0.0%,€11.57
624,SVOYI LUDY,SMB (AM Segment),31.5%,2,0.0%,€15.28,31.5%,2,0.0%,€19.19
625,BURGER BITE,SMB (AM Segment),31.5%,7,0.0%,€12.76,32.0%,5,0.0%,€17.83
626,DOM1654,SMB (AM Segment),31.4%,17,0.0%,€26.52,31.9%,13,0.0%,€25.12
627,OG RAMEN,SMB (AM Segment),31.4%,3,100.0%,€20.95,34.5%,2,100.0%,€9.33
628,SMARTFOOD,Mid-market (AM Segment),31.4%,41,100.0%,€9.27,30.6%,33,100.0%,€10.28
629,CHEBURECHNA SOFRA,SMB (AM Segment),31.4%,7,100.0%,€13.45,30.2%,6,100.0%,€12.07
630,KULINARIUM,SMB (AM Segment),31.4%,4,0.0%,€19.62,32.3%,8,0.0%,€16.01
631,TASTY CORPUS,SMB (AM Segment),31.4%,27,0.0%,€12.22,31.3%,19,0.0%,€12.98
632,SUSHI AKAI TAKO,SMB (AM Segment),31.4%,6,0.0%,€22.90,30.8%,10,0.0%,€21.62
633,TSE FALAFEL KRIHITKO,SMB (AM Segment),31.4%,15,100.0%,€12.21,32.6%,12,100.0%,€12.21
634,HRUZYNSKIY CHLIB,SMB (AM Segment),31.3%,9,100.0%,€11.72,31.8%,4,100.0%,€9.55
635,KISS LIKE PIZZA,SMB (AM Segment),31.3%,5,0.0%,€16.12,29.0%,3,0.0%,€17.80
636,DO DO DONER,Mid-market (AM Segment),31.3%,43,0.0%,€13.26,31.2%,50,34.0%,€13.02
637,DONER KEBAB,Mid-market (AM Segment),31.3%,114,0.0%,€10.93,31.1%,129,0.0%,€10.52
638,NIKO,SMB (AM Segment),31.3%,9,0.0%,€16.60,31.1%,8,0.0%,€20.14
639,HOLY MOLY,Mid-market (AM Segment),31.3%,107,0.0%,€19.30,31.2%,133,0.0%,€19.82
640,SHEFPICA,SMB (AM Segment),31.3%,26,100.0%,€19.70,30.5%,20,100.0%,€21.54
641,QUICK BITE,SMB (AM Segment),31.3%,13,0.0%,€10.22,30.9%,9,0.0%,€11.23
642,PICA ZI STOLYCI,SMB (AM Segment),31.3%,4,100.0%,€14.94,28.6%,1,100.0%,€14.28
643,SUSHI BATTLE,SMB (AM Segment),31.3%,5,100.0%,€21.69,32.9%,5,100.0%,€19.96
644,NASHA PEKARNYA STOLYCHNYCH TRADYCIY,SMB (AM Segment),31.3%,8,100.0%,€14.90,29.5%,6,100.0%,€16.39
645,PIZZA LYSYTSIA,SMB (AM Segment),31.2%,4,100.0%,€14.25,27.2%,6,100.0%,€18.14
646,TASTY PLACE,SMB (AM Segment),31.2%,4,100.0%,€16.10,29.4%,11,100.0%,€17.42
647,KRAINA MRIY,SMB (AM Segment),31.2%,8,72.1%,€12.82,30.8%,11,46.2%,€18.33
648,KAVJARNYAPEKARNYA KHLIB TA KAVA,SMB (AM Segment),31.2%,14,100.0%,€13.19,31.3%,12,100.0%,€11.29
649,ULAVASHI DEAL,SMB (AM Segment),31.2%,50,51.9%,€12.31,32.2%,52,33.3%,€12.64
650,FOOD HOUSE,SMB (AM Segment),31.1%,5,100.0%,€15.48,33.7%,4,100.0%,€18.00
651,BIG TASTY,SMB (AM Segment),31.1%,30,0.0%,€10.18,32.0%,21,0.0%,€8.84
652,ORGANIKA,SMB (AM Segment),31.1%,32,0.0%,€17.91,30.7%,38,0.0%,€22.40
653,PIZZA-SUSHI-EXPRESS,SMB (AM Segment),31.1%,9,0.0%,€12.59,31.4%,8,0.0%,€21.76
654,SHASHLIKE,SMB (AM Segment),31.1%,41,0.0%,€20.16,30.4%,60,0.0%,€23.95
655,CAFE-BAR GUSAR,SMB (AM Segment),31.1%,5,100.0%,€8.49,31.1%,4,100.0%,€14.65
656,TOP BEER,SMB (AM Segment),31.1%,7,0.0%,€14.08,32.0%,11,0.0%,€9.66
657,CITY DONER,SMB (AM Segment),31.1%,3,100.0%,€16.71,32.7%,2,100.0%,€8.71
658,SWEET KAVA,SMB (AM Segment),31.1%,19,100.0%,€15.09,32.3%,10,100.0%,€13.46
659,MEGOBARI,SMB (AM Segment),31.0%,33,0.0%,€29.43,31.4%,35,0.0%,€31.48
660,PLATE,SMB (AM Segment),31.0%,46,0.0%,€26.65,30.2%,45,0.0%,€25.69
661,GEORGIA TOP,SMB (AM Segment),31.0%,3,0.0%,€21.37,30.4%,3,0.0%,€25.45
662,SHATABU,SMB (AM Segment),31.0%,10,100.0%,€11.93,30.3%,11,100.0%,€12.79
663,WASABI GARDEN,SMB (AM Segment),31.0%,3,0.0%,€35.38,29.7%,1,0.0%,€37.64
664,MANGAL DONER,SMB (AM Segment),31.0%,34,0.0%,€13.94,29.8%,30,0.0%,€16.30
665,7SEVENHEAVEN LVIV,SMB (AM Segment),31.0%,5,62.2%,€15.49,28.7%,3,84.5%,€21.20
666,SOPRANO KYIV,SMB (AM Segment),31.0%,7,0.0%,€18.59,31.0%,9,0.0%,€15.80
667,SUSHI TIME,SMB (AM Segment),31.0%,30,0.0%,€16.06,31.0%,40,0.0%,€14.84
668,PIZZA 445 F,SMB (AM Segment),31.0%,2,0.0%,€15.18,31.0%,3,0.0%,€18.31
669,THE TRUFFLE BY ANDRIY DROMOV,SMB (AM Segment),31.0%,25,0.0%,€26.35,31.0%,19,0.0%,€27.97
670,VELUROV,SMB (AM Segment),31.0%,1,100.0%,€16.80,31.0%,1,100.0%,€23.69
671,PIZZA SUSHI LIFE,SMB (AM Segment),31.0%,9,0.0%,€13.60,31.0%,11,0.0%,€14.49
672,THEMYASO,SMB (AM Segment),31.0%,11,0.0%,€18.24,31.0%,15,0.0%,€17.91
673,STREET FOOD,SMB (AM Segment),31.0%,1,0.0%,€8.03,29.7%,3,0.0%,€13.56
674,TSENTR KAVY,SMB (AM Segment),31.0%,1,100.0%,€6.70,31.0%,1,100.0%,€4.28
675,KOMORATHE FIRST DUMPLING MANUFACTORY,SMB (AM Segment),31.0%,6,100.0%,€11.83,31.0%,10,100.0%,€17.91
676,SHAURMA EKSPRES,SMB (AM Segment),31.0%,3,0.0%,€8.46,31.0%,3,0.0%,€16.58
677,FRANKIVSKYY PIZZA,SMB (AM Segment),31.0%,7,0.0%,€12.61,31.0%,10,0.0%,€11.44
678,PELMENYE,SMB (AM Segment),31.0%,2,0.0%,€9.28,31.0%,2,0.0%,€12.81
679,LE`CHEBYREK,SMB (AM Segment),31.0%,1,100.0%,€14.39,,,,
680,MAJORAN,SMB (AM Segment),31.0%,15,0.0%,€12.15,31.0%,27,0.0%,€13.02
681,PERVAK,SMB (AM Segment),31.0%,19,0.0%,€22.75,30.8%,17,0.0%,€20.39
682,ARTMANGAL,SMB (AM Segment),31.0%,4,100.0%,€38.12,31.4%,7,100.0%,€32.60
683,MAHAZYN PYVNYY UKRAIINSKYJ KRAFT,SMB (AM Segment),31.0%,24,0.0%,€12.76,31.0%,16,0.0%,€13.45
684,ALAVERDY,SMB (AM Segment),31.0%,1,0.0%,€24.47,31.0%,1,0.0%,€27.31
685,SUNDAY DINNER,SMB (AM Segment),31.0%,8,0.0%,€7.06,31.0%,6,0.0%,€9.62
686,HENACVALE,SMB (AM Segment),31.0%,1,0.0%,€76.63,31.0%,1,0.0%,€38.21
687,HVOYA,SMB (AM Segment),31.0%,2,0.0%,€11.55,31.0%,1,0.0%,€59.25
688,VERTEP,Mid-market (AM Segment),31.0%,31,0.0%,€14.62,31.0%,26,0.0%,€15.00
689,PIZZA CAT,SMB (AM Segment),31.0%,17,0.0%,€13.17,31.0%,14,0.0%,€13.12
690,MRIYA,SMB (AM Segment),31.0%,3,0.0%,€14.37,31.0%,10,0.0%,€12.75
691,ALPACA,SMB (AM Segment),31.0%,11,0.0%,€14.49,31.0%,16,0.0%,€14.83
692,MISTECHKO,SMB (AM Segment),31.0%,9,0.0%,€9.26,31.0%,11,0.0%,€9.51
693,KATANA ZP,Mid-market (AM Segment),31.0%,15,0.0%,€17.20,28.5%,22,0.0%,€18.35
694,PERETYN LV,SMB (AM Segment),31.0%,7,0.0%,€14.00,29.8%,22,0.0%,€18.86
695,BURRITO BONITO,SMB (AM Segment),31.0%,9,100.0%,€18.23,29.7%,11,100.0%,€20.11
696,EDES,SMB (AM Segment),30.9%,8,0.0%,€8.68,30.9%,15,0.0%,€10.12
697,FOODPROM,Mid-market (AM Segment),30.9%,40,100.0%,€19.55,27.5%,60,100.0%,€18.40
698,LAVASH BAR,SMB (AM Segment),30.9%,16,88.7%,€10.80,31.1%,14,90.3%,€9.61
699,PAR BAR,SMB (AM Segment),30.8%,13,100.0%,€23.58,30.2%,20,100.0%,€18.29
700,SHO TAM? SHAURAMA,SMB (AM Segment),30.8%,19,0.0%,€10.92,31.2%,5,0.0%,€12.56
701,OCHI CITY CAFE,SMB (AM Segment),30.8%,14,100.0%,€18.63,32.8%,6,100.0%,€15.88
702,PAB JORSH,SMB (AM Segment),30.8%,2,100.0%,€24.03,25.4%,3,100.0%,€22.57
703,FABRYKA KAVY,SMB (AM Segment),30.8%,7,100.0%,€12.37,26.0%,7,100.0%,€14.49
704,ONE SPACE,SMB (AM Segment),30.8%,2,100.0%,€14.02,31.4%,3,100.0%,€8.68
705,PANCAKES,SMB (AM Segment),30.8%,25,0.0%,€15.34,31.0%,30,0.0%,€14.70
706,PLOV #1,SMB (AM Segment),30.8%,28,100.0%,€14.99,30.2%,26,100.0%,€19.41
707,PYVNA LIHA,SMB (AM Segment),30.8%,11,0.0%,€10.58,31.0%,20,0.0%,€11.61
708,CHESNYI CHEBUREK,SMB (AM Segment),30.8%,5,100.0%,€9.00,31.9%,13,100.0%,€7.91
709,CAFFEE BORYSPIL,SMB (AM Segment),30.8%,3,0.0%,€10.91,32.0%,3,0.0%,€11.48
710,BEER&PIZZA BAR,SMB (AM Segment),30.8%,2,0.0%,€15.76,32.0%,4,0.0%,€22.88
711,GRAIN KV,SMB (AM Segment),30.7%,7,0.0%,€10.23,30.1%,5,0.0%,€20.82
712,MISTERIYA,SMB (AM Segment),30.7%,4,100.0%,€16.02,34.0%,1,100.0%,€20.45
713,SHAURMA 5 ZIROK,SMB (AM Segment),30.7%,72,100.0%,€17.62,30.3%,65,100.0%,€19.15
714,ROYAL BURGER,SMB (AM Segment),30.7%,5,0.0%,€11.69,33.0%,4,0.0%,€16.03
715,QUEEN WAY,SMB (AM Segment),30.7%,9,0.0%,€9.81,31.0%,4,0.0%,€12.49
716,MARINE RESTAURANT,SMB (AM Segment),30.7%,8,100.0%,€15.43,31.6%,8,100.0%,€16.73
717,ARTFOOD,SMB (AM Segment),30.7%,49,100.0%,€11.28,29.9%,31,100.0%,€12.97
718,TARAS,SMB (AM Segment),30.7%,6,100.0%,€20.49,30.0%,7,100.0%,€18.34
719,TCPIZZA,SMB (AM Segment),30.7%,32,0.0%,€22.32,30.9%,23,0.0%,€20.35
720,I BUDUT LYUIDI,SMB (AM Segment),30.7%,9,0.0%,€17.17,29.7%,6,0.0%,€23.72
721,BURGER CLUB ODESA,SMB (AM Segment),30.7%,4,100.0%,€16.12,30.6%,10,100.0%,€15.92
722,MAO SUSHI,SMB (AM Segment),30.7%,4,0.0%,€26.22,28.9%,5,0.0%,€31.30
723,DONER CLUB,SMB (AM Segment),30.6%,19,0.0%,€11.06,31.1%,21,0.0%,€10.34
724,YALLA,SMB (AM Segment),30.6%,113,0.0%,€21.48,31.1%,118,0.0%,€20.20
725,PARMESAN LV,SMB (AM Segment),30.6%,22,100.0%,€10.45,28.7%,20,100.0%,€12.96
726,FOOD ON FIRE,SMB (AM Segment),30.6%,8,0.0%,€20.71,28.8%,4,0.0%,€14.00
727,PECHE,SMB (AM Segment),30.6%,16,0.0%,€13.54,29.0%,19,0.0%,€18.47
728,ASTI,SMB (AM Segment),30.6%,8,100.0%,€13.70,31.3%,5,100.0%,€14.70
729,SUSHI ISLAND ZP,SMB (AM Segment),30.6%,6,0.0%,€16.76,32.0%,5,0.0%,€17.86
730,KHINKALNYA GOGI,SMB (AM Segment),30.5%,39,51.2%,€19.49,30.3%,36,40.9%,€18.88
731,LUCHANO,SMB (AM Segment),30.5%,3,0.0%,€15.38,32.0%,1,0.0%,€6.82
732,SUSHI USHI,Mid-market (AM Segment),30.5%,6,100.0%,€21.09,30.7%,34,100.0%,€21.78
733,PELMESHA,Mid-market (AM Segment),30.5%,43,100.0%,€12.69,30.4%,53,100.0%,€15.43
734,FAINA SHAVA,SMB (AM Segment),30.5%,12,100.0%,€11.01,30.8%,9,100.0%,€13.01
735,KUKHEL,Mid-market (AM Segment),30.5%,53,100.0%,€12.63,28.8%,79,100.0%,€15.95
736,PIZZBURG,SMB (AM Segment),30.5%,7,0.0%,€18.67,30.9%,9,0.0%,€22.09
737,AL PACINO,SMB (AM Segment),30.5%,3,0.0%,€12.59,28.0%,1,0.0%,€12.57
738,TETCHER GASTROPUB,SMB (AM Segment),30.5%,8,100.0%,€16.06,34.2%,2,100.0%,€17.09
739,DONER CLUB ODS,SMB (AM Segment),30.5%,2,0.0%,€5.34,31.5%,4,0.0%,€7.64
740,VIKING,SMB (AM Segment),30.5%,3,100.0%,€15.89,31.5%,2,100.0%,€11.38
741,THE BURGERS KHARKIV,SMB (AM Segment),30.4%,3,100.0%,€19.88,30.6%,2,100.0%,€23.39
742,VYNO I MYASO,SMB (AM Segment),30.4%,14,82.1%,€31.04,30.7%,18,79.3%,€23.83
743,CAFE 84,SMB (AM Segment),30.4%,15,0.0%,€12.51,30.4%,9,0.0%,€20.18
744,TOR SHAURMA,SMB (AM Segment),30.4%,4,100.0%,€13.70,33.0%,1,100.0%,€5.70
745,MONKEY SUSHI,SMB (AM Segment),30.4%,20,0.0%,€29.60,31.4%,24,0.0%,€33.21
746,KASHKA,SMB (AM Segment),30.4%,7,100.0%,€10.33,30.3%,11,100.0%,€8.95
747,KREDENS CAFE,SMB (AM Segment),30.4%,3,100.0%,€12.74,32.5%,5,100.0%,€12.33
748,SOFRA,SMB (AM Segment),30.4%,23,14.4%,€17.51,30.3%,11,6.4%,€18.81
749,HO GO,SMB (AM Segment),30.4%,15,0.0%,€27.45,31.1%,22,0.0%,€27.71
750,UNITCAFE,SMB (AM Segment),30.4%,11,100.0%,€10.62,31.1%,7,100.0%,€11.79
751,SHAURMA DN,SMB (AM Segment),30.3%,20,0.0%,€11.00,31.2%,12,0.0%,€10.32
752,BOHEMA,SMB (AM Segment),30.3%,10,0.0%,€15.19,28.6%,10,0.0%,€15.74
753,ROVERO,SMB (AM Segment),30.3%,6,0.0%,€18.84,29.8%,6,0.0%,€18.55
754,INSTA COFFEE,SMB (AM Segment),30.3%,3,0.0%,€10.55,30.8%,3,0.0%,€22.09
755,NEWYORK STREET FOOD,SMB (AM Segment),30.3%,3,100.0%,€33.42,30.4%,9,100.0%,€21.57
756,TBILISI,SMB (AM Segment),30.3%,8,100.0%,€28.68,30.7%,8,100.0%,€19.65
757,RESTORACIYA VLTAVA,SMB (AM Segment),30.2%,21,100.0%,€16.21,30.7%,23,100.0%,€13.74
758,QUASAR CRYPTO KEBAB,SMB (AM Segment),30.2%,27,100.0%,€17.54,31.8%,27,100.0%,€13.22
759,SHACH I MAT,SMB (AM Segment),30.2%,2,100.0%,€17.18,28.8%,2,100.0%,€46.93
760,VARYK,SMB (AM Segment),30.2%,14,0.0%,€29.97,30.0%,13,0.0%,€28.95
761,MESHKANTSI,SMB (AM Segment),30.2%,8,0.0%,€15.23,28.4%,14,0.0%,€21.29
762,HOT POTATO KH,SMB (AM Segment),30.2%,3,0.0%,€19.78,31.7%,7,0.0%,€15.12
763,YENOT BURGERS,SMB (AM Segment),30.2%,8,100.0%,€30.36,30.8%,16,100.0%,€20.98
764,CUKOR BLACK,Mid-market (AM Segment),30.2%,11,100.0%,€24.01,31.6%,9,100.0%,€21.36
765,LECHU,SMB (AM Segment),30.2%,5,0.0%,€24.67,30.8%,9,0.0%,€19.33
766,SHAVUCHA TOPCHYK,Mid-market (AM Segment),30.2%,94,100.0%,€14.55,29.9%,72,100.0%,€16.51
767,SHCHASTYA,SMB (AM Segment),30.1%,10,100.0%,€26.63,31.4%,4,100.0%,€26.41
768,PROVOCATOR BAR,SMB (AM Segment),30.1%,2,0.0%,€22.15,29.1%,5,0.0%,€17.83
769,BROOKLYN HUB,SMB (AM Segment),30.1%,4,0.0%,€19.91,32.4%,2,0.0%,€8.00
770,VEHETARIANSKE KAFE UKROP,SMB (AM Segment),30.1%,2,0.0%,€37.64,33.0%,1,0.0%,€12.73
771,BELLISSIMO PIZZA,SMB (AM Segment),30.1%,11,100.0%,€13.89,29.8%,12,100.0%,€13.28
772,SUSHI BAR SHEF ROLL,SMB (AM Segment),30.0%,8,100.0%,€20.27,30.2%,13,100.0%,€21.34
773,MAESTRO PIZZA VIN,Mid-market (AM Segment),30.0%,85,100.0%,€17.29,30.7%,72,100.0%,€15.92
774,GRACE.FUL,SMB (AM Segment),30.0%,3,0.0%,€6.94,31.3%,7,0.0%,€8.25
775,KEBAB CHILIS,SMB (AM Segment),30.0%,35,88.1%,€12.49,28.8%,36,83.8%,€11.55
776,VARENYKY TUT,SMB (AM Segment),30.0%,25,0.0%,€13.06,30.0%,27,0.0%,€12.32
777,RESTORAN PATIO,SMB (AM Segment),30.0%,8,0.0%,€30.37,30.0%,15,0.0%,€34.32
778,CACTUS ESPRESSO BAR,SMB (AM Segment),30.0%,4,0.0%,€16.68,27.5%,3,0.0%,€35.53
779,PICERIYA PIZZAZZA PICACA,SMB (AM Segment),30.0%,19,0.0%,€15.29,30.0%,10,0.0%,€16.25
780,CHEBURECHNA DSF,SMB (AM Segment),30.0%,1,0.0%,€11.01,27.0%,2,0.0%,€15.88
781,36PO,SMB (AM Segment),30.0%,2,0.0%,€17.55,30.0%,1,0.0%,€12.09
782,PATRIK PAB,SMB (AM Segment),30.0%,23,0.0%,€13.11,30.0%,32,0.0%,€14.57
783,STREET HUB,SMB (AM Segment),30.0%,3,0.0%,€9.30,30.0%,6,0.0%,€15.69
784,ÈDES,SMB (AM Segment),30.0%,3,0.0%,€8.22,30.2%,6,0.0%,€10.38
785,CREMA COFFEE,SMB (AM Segment),30.0%,3,0.0%,€8.18,30.0%,1,0.0%,€19.14
786,BEERLAB,SMB (AM Segment),30.0%,1,0.0%,€7.10,,,,
787,MAKHNOPUB,SMB (AM Segment),30.0%,2,0.0%,€37.15,30.0%,6,0.0%,€33.53
788,МАДА ЧЕРКАСИ,SMB (AM Segment),30.0%,13,0.0%,€14.93,29.8%,17,0.0%,€10.82
789,DAI KRABA,SMB (AM Segment),30.0%,3,0.0%,€25.16,30.0%,4,0.0%,€15.34
790,BOWLING KLUB PANORAMA,SMB (AM Segment),30.0%,1,0.0%,€8.25,,,,
791,ESSEYSTI,SMB (AM Segment),30.0%,8,0.0%,€20.64,30.0%,12,0.0%,€17.59
792,VESNA COFFEE,SMB (AM Segment),30.0%,2,0.0%,€10.63,30.0%,1,0.0%,€6.71
793,SHAURMA BRO,SMB (AM Segment),30.0%,15,0.0%,€9.18,30.0%,15,0.0%,€10.17
794,CHACHASALA,SMB (AM Segment),30.0%,3,0.0%,€18.01,30.0%,5,0.0%,€23.25
795,AVTOGRAF,SMB (AM Segment),30.0%,1,0.0%,€29.81,,,,
796,SKROMNYJ,SMB (AM Segment),30.0%,23,0.0%,€18.19,30.0%,41,0.0%,€20.74
797,KYHNIA V KOROBCI,SMB (AM Segment),30.0%,10,0.0%,€13.27,30.0%,11,0.0%,€13.76
798,NURU LEGENDA DONER KEBAB,SMB (AM Segment),30.0%,4,0.0%,€7.31,30.0%,4,0.0%,€9.50
799,BLA BLA BAR,Mid-market (AM Segment),30.0%,13,0.0%,€19.15,30.0%,22,0.0%,€24.61
800,OMNOMNOM,SMB (AM Segment),30.0%,1,0.0%,€11.40,,,,
801,SHAURMAMA DN,SMB (AM Segment),30.0%,18,0.0%,€12.82,30.0%,23,0.0%,€11.00
802,MURAD SHAURMA,SMB (AM Segment),30.0%,7,0.0%,€8.23,30.0%,8,0.0%,€10.26
803,TOP SHAURMA DNIPRO,SMB (AM Segment),30.0%,22,0.0%,€13.16,30.0%,21,0.0%,€12.42
804,NE ROBY GOLOVU,SMB (AM Segment),30.0%,5,0.0%,€14.40,30.0%,7,0.0%,€11.00
805,LE PACCHINO,SMB (AM Segment),30.0%,2,0.0%,€8.29,30.0%,2,0.0%,€6.01
806,IVUSHKA NA NOVOSELIVS KIY,SMB (AM Segment),30.0%,5,0.0%,€14.08,30.0%,2,0.0%,€18.30
807,VOHEN KEBAB,SMB (AM Segment),30.0%,32,0.0%,€13.49,30.0%,29,0.0%,€12.58
808,NE HORYI,SMB (AM Segment),30.0%,16,0.0%,€19.86,30.0%,17,0.0%,€28.50
809,PIZZA HOUSE,SMB (AM Segment),30.0%,7,0.0%,€17.30,30.0%,9,0.0%,€18.24
810,EKO JIZHA,SMB (AM Segment),30.0%,3,0.0%,€9.78,30.0%,4,0.0%,€13.71
811,LUCKY BEER,SMB (AM Segment),30.0%,16,0.0%,€13.98,30.0%,13,0.0%,€16.26
812,HLIB Z MASLOM KAVYARNYA,SMB (AM Segment),30.0%,2,100.0%,€11.09,30.0%,2,100.0%,€10.75
813,MAHAZYN ROZLYVNOHO PYVA BAVARIA,SMB (AM Segment),30.0%,6,0.0%,€9.87,30.0%,6,0.0%,€10.41
814,GREENBAR&RESTO,SMB (AM Segment),30.0%,2,0.0%,€20.02,30.0%,1,0.0%,€7.96
815,EDES ZH,SMB (AM Segment),30.0%,4,0.0%,€11.11,,,,
816,ROSEMARINE KR,SMB (AM Segment),30.0%,3,0.0%,€14.62,30.0%,1,0.0%,€21.45
817,CIKAVA-STRAVA,SMB (AM Segment),30.0%,4,0.0%,€24.09,30.0%,2,0.0%,€31.45
818,DOMASHNYA KYHNYA KH,SMB (AM Segment),30.0%,1,0.0%,€12.30,,,,
819,MOLTO MEATFISH,Mid-market (AM Segment),30.0%,21,0.0%,€12.80,29.7%,22,0.0%,€11.37
820,KOLYBA SELO I LUDY,SMB (AM Segment),30.0%,3,0.0%,€32.32,30.0%,3,0.0%,€39.90
821,MON AMI BURUM,Mid-market (AM Segment),30.0%,171,0.0%,€10.25,30.0%,161,0.0%,€10.10
822,FAT DADDY BURGERS,SMB (AM Segment),30.0%,24,0.0%,€17.36,30.0%,11,0.0%,€15.72
